V,SOC,SOH
6.5526,9.408293664455414,100
6.5521,9.408287703990936,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5521,9.408287703990936,100
6.5521,9.408287703990936,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5521,9.408287703990936,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5521,9.408287703990936,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5521,9.408287703990936,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.4251,9.406785666942596,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5521,9.408287703990936,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.4511,9.407103806734085,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.4511,9.407103806734085,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
6.5526,9.408293664455414,100
